,match_id,league,sport,comp_names,results_value,timestamp,hero,villain,market,line,line_type,price,hero_score,villain_score
0,coppin-state-charlotte-202211071800,college-basketball,basketball,"['Coppin State', 'Charlotte']","['24', '32']",2022-11-07 18:32:24.066425,Coppin State,Charlotte,SPREAD,13.5,favorite,-130,24,32
1,coppin-state-charlotte-202211071800,college-basketball,basketball,"['Coppin State', 'Charlotte']","['24', '32']",2022-11-07 18:32:24.066425,Charlotte,Coppin State,SPREAD,13.5,favorite,EVEN,32,24
2,coppin-state-charlotte-202211071800,college-basketball,basketball,"['Coppin State', 'Charlotte']","['24', '32']",2022-11-07 18:32:24.066425,Coppin State,Charlotte,WIN,,,+650,24,32
3,coppin-state-charlotte-202211071800,college-basketball,basketball,"['Coppin State', 'Charlotte']","['24', '32']",2022-11-07 18:32:24.066425,Charlotte,Coppin State,WIN,,,-1600,32,24
4,coppin-state-charlotte-202211071800,college-basketball,basketball,"['Coppin State', 'Charlotte']","['24', '32']",2022-11-07 18:32:24.066425,Coppin State,Charlotte,TOTAL,13.5,favorite,-110,24,32
5,coppin-state-charlotte-202211071800,college-basketball,basketball,"['Coppin State', 'Charlotte']","['24', '32']",2022-11-07 18:32:24.066425,Charlotte,Coppin State,TOTAL,13.5,favorite,-120,32,24
6,fluminense-u19-asp-municipal-u19-202211071700,campeonato-carioca-u19,basketball,"['Fluminense U19', 'ASP Municipal U19']","['52', '42']",2022-11-07 18:32:24.208280,Fluminense U19,ASP Municipal U19,SPREAD,10.5,underdog,-120,52,42
7,fluminense-u19-asp-municipal-u19-202211071700,campeonato-carioca-u19,basketball,"['Fluminense U19', 'ASP Municipal U19']","['52', '42']",2022-11-07 18:32:24.208280,ASP Municipal U19,Fluminense U19,SPREAD,10.5,underdog,-120,42,52
8,fluminense-u19-asp-municipal-u19-202211071700,campeonato-carioca-u19,basketball,"['Fluminense U19', 'ASP Municipal U19']","['52', '42']",2022-11-07 18:32:24.208280,Fluminense U19,ASP Municipal U19,WIN,,,-6600,52,42
9,fluminense-u19-asp-municipal-u19-202211071700,campeonato-carioca-u19,basketball,"['Fluminense U19', 'ASP Municipal U19']","['52', '42']",2022-11-07 18:32:24.208280,ASP Municipal U19,Fluminense U19,WIN,,,+1500,42,52
10,fluminense-u19-asp-municipal-u19-202211071700,campeonato-carioca-u19,basketball,"['Fluminense U19', 'ASP Municipal U19']","['52', '42']",2022-11-07 18:32:24.208280,Fluminense U19,ASP Municipal U19,TOTAL,10.5,underdog,-115,52,42
11,fluminense-u19-asp-municipal-u19-202211071700,campeonato-carioca-u19,basketball,"['Fluminense U19', 'ASP Municipal U19']","['52', '42']",2022-11-07 18:32:24.208280,ASP Municipal U19,Fluminense U19,TOTAL,10.5,underdog,-125,42,52
12,colonias-gold-basketball-libertad-asuncion-202211071730,paraguay-championship,basketball,"['Colonias Gold Basketball', 'Libertad']","['51', '58']",2022-11-07 18:32:24.351430,Colonias Gold Basketball,Libertad,SPREAD,3.5,favorite,+110,51,58
13,colonias-gold-basketball-libertad-asuncion-202211071730,paraguay-championship,basketball,"['Colonias Gold Basketball', 'Libertad']","['51', '58']",2022-11-07 18:32:24.351430,Libertad,Colonias Gold Basketball,SPREAD,3.5,favorite,-155,58,51
14,colonias-gold-basketball-libertad-asuncion-202211071730,paraguay-championship,basketball,"['Colonias Gold Basketball', 'Libertad']","['51', '58']",2022-11-07 18:32:24.351430,Colonias Gold Basketball,Libertad,WIN,,,+195,51,58
15,colonias-gold-basketball-libertad-asuncion-202211071730,paraguay-championship,basketball,"['Colonias Gold Basketball', 'Libertad']","['51', '58']",2022-11-07 18:32:24.351430,Libertad,Colonias Gold Basketball,WIN,,,-290,58,51
16,colonias-gold-basketball-libertad-asuncion-202211071730,paraguay-championship,basketball,"['Colonias Gold Basketball', 'Libertad']","['51', '58']",2022-11-07 18:32:24.351430,Colonias Gold Basketball,Libertad,TOTAL,3.5,favorite,-120,51,58
17,colonias-gold-basketball-libertad-asuncion-202211071730,paraguay-championship,basketball,"['Colonias Gold Basketball', 'Libertad']","['51', '58']",2022-11-07 18:32:24.351430,Libertad,Colonias Gold Basketball,TOTAL,3.5,favorite,-120,58,51
18,olimpia-kings-deportivo-san-jose-202211071730,paraguay-championship,basketball,"['Olimpia Kings', 'Deportivo San Jose']","['42', '51']",2022-11-07 18:32:24.476200,Olimpia Kings,Deportivo San Jose,SPREAD,9.5,favorite,-115,42,51
19,olimpia-kings-deportivo-san-jose-202211071730,paraguay-championship,basketball,"['Olimpia Kings', 'Deportivo San Jose']","['42', '51']",2022-11-07 18:32:24.476200,Deportivo San Jose,Olimpia Kings,SPREAD,9.5,favorite,-125,51,42
20,olimpia-kings-deportivo-san-jose-202211071730,paraguay-championship,basketball,"['Olimpia Kings', 'Deportivo San Jose']","['42', '51']",2022-11-07 18:32:24.476200,Olimpia Kings,Deportivo San Jose,WIN,,,+450,42,51
