,timestamp,hero,villain,market,line,line_type,price,hero_score,villain_score
0,2022-11-04 16:17:49.727906,Valencia,Olympiakos,SPREAD,13.5,favorite,-115,58,71
1,2022-11-04 16:17:49.727906,Olympiakos,Valencia,SPREAD,13.5,favorite,-115,71,58
2,2022-11-04 16:17:49.727906,Valencia,Olympiakos,WIN,,,+1400,58,71
3,2022-11-04 16:17:49.727906,Olympiakos,Valencia,WIN,,,-10000,71,58
4,2022-11-04 16:17:49.727906,Valencia,Olympiakos,TOTAL,13.5,favorite,-145,58,71
5,2022-11-04 16:17:49.727906,Olympiakos,Valencia,TOTAL,13.5,favorite,+110,71,58
6,2022-11-04 16:17:49.823215,Fenerbahce,Barcelona,SPREAD,4.5,favorite,-110,34,37
7,2022-11-04 16:17:49.823215,Barcelona,Fenerbahce,SPREAD,4.5,favorite,-120,37,34
8,2022-11-04 16:17:49.823215,Fenerbahce,Barcelona,WIN,,,+205,34,37
9,2022-11-04 16:17:49.823215,Barcelona,Fenerbahce,WIN,,,-280,37,34
10,2022-11-04 16:17:49.823215,Fenerbahce,Barcelona,TOTAL,4.5,favorite,-120,34,37
11,2022-11-04 16:17:49.823215,Barcelona,Fenerbahce,TOTAL,4.5,favorite,-110,37,34
12,2022-11-04 16:17:49.919579,ASVEL Basket,Virtus Bologna,SPREAD,7.5,favorite,-120,16,20
13,2022-11-04 16:17:49.919579,Virtus Bologna,ASVEL Basket,SPREAD,7.5,favorite,-110,20,16
14,2022-11-04 16:17:49.919579,ASVEL Basket,Virtus Bologna,WIN,,,+260,16,20
15,2022-11-04 16:17:49.919579,Virtus Bologna,ASVEL Basket,WIN,,,-370,20,16
16,2022-11-04 16:17:49.919579,ASVEL Basket,Virtus Bologna,TOTAL,7.5,favorite,-115,16,20
17,2022-11-04 16:17:49.919579,Virtus Bologna,ASVEL Basket,TOTAL,7.5,favorite,-115,20,16
18,2022-11-04 16:17:50.012208,Crvena Zvezda,AS Monaco,SPREAD,7.5,favorite,-125,16,15
19,2022-11-04 16:17:50.012208,AS Monaco,Crvena Zvezda,SPREAD,7.5,favorite,-105,15,16
20,2022-11-04 16:17:50.012208,Crvena Zvezda,AS Monaco,WIN,,,+265,16,15
21,2022-11-04 16:17:50.012208,AS Monaco,Crvena Zvezda,WIN,,,-370,15,16
